Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,cutivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Time,Treatment
SRR12097083,RNA-Seq,50,301770150,PRJNA642101,SAMN15376866,124129102,GEO,public,Micro-Tom,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX8622585,Wild-type,GSM4641330,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641330,Shoots,SRP269007,T20d,Infected
SRR12097084,RNA-Seq,50,358999550,PRJNA642101,SAMN15376864,147977977,GEO,public,Micro-Tom,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX8622586,Wild-type,GSM4641331,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641331,Shoots,SRP269007,T20d,Infected
SRR12097085,RNA-Seq,50,365738650,PRJNA642101,SAMN15376716,150190174,GEO,public,Micro-Tom,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8622587,Wild-type,GSM4641332,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641332,Shoots,SRP269007,T30d,Mock
SRR12097086,RNA-Seq,50,363115950,PRJNA642101,SAMN15376714,148904389,GEO,public,Micro-Tom,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX8622588,Wild-type,GSM4641333,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641333,Shoots,SRP269007,T30d,Mock
SRR12097087,RNA-Seq,50,395110600,PRJNA642101,SAMN15376713,162380522,GEO,public,Micro-Tom,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8622589,Wild-type,GSM4641334,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:48:00Z,1,GSM4641334,Shoots,SRP269007,T30d,Mock
SRR12097088,RNA-Seq,50,366772750,PRJNA642101,SAMN15376711,150434098,GEO,public,Micro-Tom,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX8622590,Wild-type,GSM4641335,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641335,Shoots,SRP269007,T30d,Mock
SRR12097089,RNA-Seq,50,271988950,PRJNA642101,SAMN15376709,112655639,GEO,public,Micro-Tom,"run.zq,fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX8622591,Wild-type,GSM4641336,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641336,Shoots,SRP269007,T30d,Mock
SRR12097090,RNA-Seq,50,338413600,PRJNA642101,SAMN15376707,139241598,GEO,public,Micro-Tom,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX8622592,Wild-type,GSM4641337,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641337,Shoots,SRP269007,T30d,Infected
SRR12097091,RNA-Seq,50,273001150,PRJNA642101,SAMN15376706,112143678,GEO,public,Micro-Tom,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX8622593,Wild-type,GSM4641338,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641338,Shoots,SRP269007,T30d,Infected
SRR12097092,RNA-Seq,50,392496100,PRJNA642101,SAMN15376704,161546328,GEO,public,Micro-Tom,"sra,fastq,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8622594,Wild-type,GSM4641339,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641339,Shoots,SRP269007,T30d,Infected
SRR12097093,RNA-Seq,50,350349100,PRJNA642101,SAMN15376702,143906643,GEO,public,Micro-Tom,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX8622501,Wild-type,GSM4641340,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641340,Shoots,SRP269007,T30d,Infected
SRR12097094,RNA-Seq,50,414100250,PRJNA642101,SAMN15376701,169901706,GEO,public,Micro-Tom,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX8622502,Wild-type,GSM4641341,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641341,Shoots,SRP269007,T30d,Infected
SRR12097095,RNA-Seq,50,508193050,PRJNA642101,SAMN15376699,205767544,GEO,public,Micro-Tom,"fastq,sra,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8622503,35S::AtCKX2,GSM4641342,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641342,Shoots,SRP269007,T12h,Mock
SRR12097096,RNA-Seq,50,440760450,PRJNA642101,SAMN15376698,178700807,GEO,public,Micro-Tom,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX8622504,35S::AtCKX2,GSM4641343,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641343,Shoots,SRP269007,T12h,Mock
SRR12097097,RNA-Seq,50,627353750,PRJNA642101,SAMN15376696,254660407,GEO,public,Micro-Tom,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX8622505,35S::AtCKX2,GSM4641344,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:48:00Z,1,GSM4641344,Shoots,SRP269007,T12h,Mock
SRR12097098,RNA-Seq,50,328772250,PRJNA642101,SAMN15376694,134275256,GEO,public,Micro-Tom,"run.zq,fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX8622506,35S::AtCKX2,GSM4641345,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641345,Shoots,SRP269007,T12h,Mock
SRR12097099,RNA-Seq,50,391570500,PRJNA642101,SAMN15376692,159145451,GEO,public,Micro-Tom,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX8622507,35S::AtCKX2,GSM4641346,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641346,Shoots,SRP269007,T12h,Mock
SRR12097100,RNA-Seq,50,140420200,PRJNA642101,SAMN15376690,57642788,GEO,public,Micro-Tom,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8622508,35S::AtCKX2,GSM4641347,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:46:00Z,1,GSM4641347,Shoots,SRP269007,T12h,Infected
SRR12097101,RNA-Seq,50,146158650,PRJNA642101,SAMN15376688,60024525,GEO,public,Micro-Tom,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8622509,35S::AtCKX2,GSM4641348,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:46:00Z,1,GSM4641348,Shoots,SRP269007,T12h,Infected
SRR12097102,RNA-Seq,50,336692900,PRJNA642101,SAMN15376760,136820250,GEO,public,Micro-Tom,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX8622510,35S::AtCKX2,GSM4641349,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641349,Shoots,SRP269007,T12h,Infected
SRR12097103,RNA-Seq,50,68122300,PRJNA642101,SAMN15376759,28319021,GEO,public,Micro-Tom,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX8622511,35S::AtCKX2,GSM4641350,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:46:00Z,1,GSM4641350,Shoots,SRP269007,T12h,Infected
SRR12097104,RNA-Seq,50,199762900,PRJNA642101,SAMN15376757,81799204,GEO,public,Micro-Tom,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX8622512,35S::AtCKX2,GSM4641351,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:46:00Z,1,GSM4641351,Shoots,SRP269007,T12h,Infected
SRR12097105,RNA-Seq,50,327418400,PRJNA642101,SAMN15376686,134175147,GEO,public,Micro-Tom,"fastq,run.zq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8622513,35S::AtCKX2,GSM4641352,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641352,Shoots,SRP269007,T24h,Mock
SRR12097106,RNA-Seq,50,131417750,PRJNA642101,SAMN15376763,54282200,GEO,public,Micro-Tom,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX8622514,35S::AtCKX2,GSM4641353,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:46:00Z,1,GSM4641353,Shoots,SRP269007,T24h,Mock
SRR12097107,RNA-Seq,50,332890500,PRJNA642101,SAMN15376762,135969442,GEO,public,Micro-Tom,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX8622515,35S::AtCKX2,GSM4641354,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641354,Shoots,SRP269007,T24h,Mock
SRR12097108,RNA-Seq,50,196737300,PRJNA642101,SAMN15376755,80693581,GEO,public,Micro-Tom,"run.zq,fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX8622516,35S::AtCKX2,GSM4641355,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:46:00Z,1,GSM4641355,Shoots,SRP269007,T24h,Mock
SRR12097109,RNA-Seq,50,306897200,PRJNA642101,SAMN15376753,125425109,GEO,public,Micro-Tom,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX8622517,35S::AtCKX2,GSM4641356,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641356,Shoots,SRP269007,T24h,Mock
SRR12097110,RNA-Seq,50,115944100,PRJNA642101,SAMN15376751,47847035,GEO,public,Micro-Tom,"sra,run.zq,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8622518,35S::AtCKX2,GSM4641357,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:46:00Z,1,GSM4641357,Shoots,SRP269007,T24h,Infected
SRR12097111,RNA-Seq,50,103948650,PRJNA642101,SAMN15376749,53430460,GEO,public,Micro-Tom,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX8622519,35S::AtCKX2,GSM4641358,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:46:00Z,1,GSM4641358,Shoots,SRP269007,T24h,Infected
SRR12097112,RNA-Seq,50,67488900,PRJNA642101,SAMN15376747,34975639,GEO,public,Micro-Tom,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX8622520,35S::AtCKX2,GSM4641359,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:46:00Z,1,GSM4641359,Shoots,SRP269007,T24h,Infected
SRR12097113,RNA-Seq,50,100212600,PRJNA642101,SAMN15376745,51280010,GEO,public,Micro-Tom,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX8622521,35S::AtCKX2,GSM4641360,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:46:00Z,1,GSM4641360,Shoots,SRP269007,T24h,Infected
SRR12097114,RNA-Seq,50,232353950,PRJNA642101,SAMN15376743,118359608,GEO,public,Micro-Tom,"sra,run.zq,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8622522,35S::AtCKX2,GSM4641361,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641361,Shoots,SRP269007,T24h,Infected
SRR12097115,RNA-Seq,50,246481150,PRJNA642101,SAMN15376608,126072951,GEO,public,Micro-Tom,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8622523,35S::AtCKX2,GSM4641362,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641362,Shoots,SRP269007,T48h,Mock
SRR12097116,RNA-Seq,50,267488450,PRJNA642101,SAMN15376607,136493978,GEO,public,Micro-Tom,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX8622524,35S::AtCKX2,GSM4641363,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641363,Shoots,SRP269007,T48h,Mock
SRR12097117,RNA-Seq,50,218929800,PRJNA642101,SAMN15376684,112094537,GEO,public,Micro-Tom,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8622525,35S::AtCKX2,GSM4641364,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641364,Shoots,SRP269007,T48h,Mock
SRR12097118,RNA-Seq,50,168402700,PRJNA642101,SAMN15376683,85836032,GEO,public,Micro-Tom,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX8622526,35S::AtCKX2,GSM4641365,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:46:00Z,1,GSM4641365,Shoots,SRP269007,T48h,Mock
SRR12097119,RNA-Seq,50,448935500,PRJNA642101,SAMN15376681,182526559,GEO,public,Micro-Tom,"sra,run.zq,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8622527,35S::AtCKX2,GSM4641366,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T12:18:00Z,1,GSM4641366,Shoots,SRP269007,T48h,Mock
SRR12097120,RNA-Seq,50,50165650,PRJNA642101,SAMN15376679,21022074,GEO,public,Micro-Tom,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX8622528,35S::AtCKX2,GSM4641367,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T12:17:00Z,1,GSM4641367,Shoots,SRP269007,T48h,Infected
SRR12097121,RNA-Seq,50,199796750,PRJNA642101,SAMN15376677,82022179,GEO,public,Micro-Tom,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX8622529,35S::AtCKX2,GSM4641368,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641368,Shoots,SRP269007,T48h,Infected
SRR12097122,RNA-Seq,50,283210350,PRJNA642101,SAMN15376675,116312119,GEO,public,Micro-Tom,"sra,run.zq,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8622530,35S::AtCKX2,GSM4641369,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641369,Shoots,SRP269007,T48h,Infected
SRR12097123,RNA-Seq,50,185596700,PRJNA642101,SAMN15376674,76271008,GEO,public,Micro-Tom,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX8622531,35S::AtCKX2,GSM4641370,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641370,Shoots,SRP269007,T48h,Infected
SRR12097124,RNA-Seq,50,117360950,PRJNA642101,SAMN15376672,48406137,GEO,public,Micro-Tom,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX8622532,35S::AtCKX2,GSM4641371,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:46:00Z,1,GSM4641371,Shoots,SRP269007,T48h,Infected
SRR12097125,RNA-Seq,50,293453400,PRJNA642101,SAMN15376670,120068366,GEO,public,Micro-Tom,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX8622533,35S::AtCKX2,GSM4641372,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641372,Shoots,SRP269007,T5d,Mock
SRR12097126,RNA-Seq,50,269741200,PRJNA642101,SAMN15376668,110315834,GEO,public,Micro-Tom,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8622534,35S::AtCKX2,GSM4641373,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641373,Shoots,SRP269007,T5d,Mock
SRR12097127,RNA-Seq,50,503280650,PRJNA642101,SAMN15376666,204126169,GEO,public,Micro-Tom,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX8622535,35S::AtCKX2,GSM4641374,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641374,Shoots,SRP269007,T5d,Mock
SRR12097128,RNA-Seq,50,297832600,PRJNA642101,SAMN15376664,121494273,GEO,public,Micro-Tom,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX8622536,35S::AtCKX2,GSM4641375,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641375,Shoots,SRP269007,T5d,Mock
SRR12097129,RNA-Seq,50,352752050,PRJNA642101,SAMN15376662,143853331,GEO,public,Micro-Tom,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX8622537,35S::AtCKX2,GSM4641376,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641376,Shoots,SRP269007,T5d,Mock
SRR12097130,RNA-Seq,50,284773700,PRJNA642101,SAMN15376660,116664668,GEO,public,Micro-Tom,"fastq,sra,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8622538,35S::AtCKX2,GSM4641377,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T12:18:00Z,1,GSM4641377,Shoots,SRP269007,T5d,Infected
SRR12097131,RNA-Seq,50,174854850,PRJNA642101,SAMN15376658,71664104,GEO,public,Micro-Tom,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX8622539,35S::AtCKX2,GSM4641378,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641378,Shoots,SRP269007,T5d,Infected
SRR12097132,RNA-Seq,50,267675500,PRJNA642101,SAMN15376656,109069341,GEO,public,Micro-Tom,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX8622540,35S::AtCKX2,GSM4641379,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641379,Shoots,SRP269007,T5d,Infected
SRR12097133,RNA-Seq,50,250790500,PRJNA642101,SAMN15376654,102554639,GEO,public,Micro-Tom,"fastq,sra,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8622541,35S::AtCKX2,GSM4641380,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641380,Shoots,SRP269007,T5d,Infected
SRR12097134,RNA-Seq,50,325186000,PRJNA642101,SAMN15376652,132425019,GEO,public,Micro-Tom,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8622542,35S::AtCKX2,GSM4641381,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641381,Shoots,SRP269007,T5d,Infected
SRR12097135,RNA-Seq,50,421199950,PRJNA642101,SAMN15376650,170690378,GEO,public,Micro-Tom,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8622543,35S::AtCKX2,GSM4641382,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641382,Shoots,SRP269007,T10d,Mock
SRR12097136,RNA-Seq,50,452505050,PRJNA642101,SAMN15376649,183580264,GEO,public,Micro-Tom,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX8622544,35S::AtCKX2,GSM4641383,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641383,Shoots,SRP269007,T10d,Mock
SRR12097137,RNA-Seq,50,386727450,PRJNA642101,SAMN15376646,157517068,GEO,public,Micro-Tom,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX8622545,35S::AtCKX2,GSM4641384,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641384,Shoots,SRP269007,T10d,Mock
SRR12097138,RNA-Seq,50,437211600,PRJNA642101,SAMN15376644,178244776,GEO,public,Micro-Tom,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX8622546,35S::AtCKX2,GSM4641385,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641385,Shoots,SRP269007,T10d,Mock
SRR12097139,RNA-Seq,50,339471300,PRJNA642101,SAMN15376724,138285106,GEO,public,Micro-Tom,"run.zq,fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX8622547,35S::AtCKX2,GSM4641386,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641386,Shoots,SRP269007,T10d,Mock
SRR12097140,RNA-Seq,50,237530700,PRJNA642101,SAMN15376723,96833528,GEO,public,Micro-Tom,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX8622548,35S::AtCKX2,GSM4641387,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T12:17:00Z,1,GSM4641387,Shoots,SRP269007,T10d,Infected
